state,class,state_index,inc_party,rating
Alabama,Class II,Alabama: Class II,DEM,Likely R
Alaska,Class II,Alaska: Class II,REP,Likely R
Arizona,Class III,Arizona: Class III,REP,Likely D
Arkansas,Class II,Arkansas: Class II,REP,Solid R
Colorado,Class II,Colorado: Class II,REP,Likely D
Delaware,Class II,Delaware: Class II,DEM,Solid D
Georgia,Class II,Georgia: Class II,REP,Lean R
Idaho,Class II,Idaho: Class II,REP,Solid R
Illinois,Class II,Illinois: Class II,DEM,Solid D
Iowa,Class II,Iowa: Class II,REP,Tossup
Kansas,Class II,Kansas: Class II,REP,Lean R
Kentucky,Class II,Kentucky: Class II,REP,Likely R
Louisiana,Class II,Louisiana: Class II,REP,Solid R
Maine,Class II,Maine: Class II,REP,Tossup
Massachusetts,Class II,Massachusetts: Class II,DEM,Solid D
Michigan,Class II,Michigan: Class II,DEM,Likely D
Minnesota,Class II,Minnesota: Class II,DEM,Likely D
Mississippi,Class II,Mississippi: Class II,REP,Solid R
Montana,Class II,Montana: Class II,REP,Tossup
Nebraska,Class II,Nebraska: Class II,REP,Solid R
New Hampshire,Class II,New Hampshire: Class II,DEM,Likely D
New Jersey,Class II,New Jersey: Class II,DEM,Solid D
New Mexico,Class II,New Mexico: Class II,DEM,Solid D
North Carolina,Class II,North Carolina: Class II,REP,Lean D
Oklahoma,Class II,Oklahoma: Class II,REP,Solid R
Oregon,Class II,Oregon: Class II,DEM,Solid D
Rhode Island,Class II,Rhode Island: Class II,DEM,Solid D
South Carolina,Class II,South Carolina: Class II,REP,Likely R
South Dakota,Class II,South Dakota: Class II,REP,Solid R
Tennessee,Class II,Tennessee: Class II,REP,Solid R
Texas,Class II,Texas: Class II,REP,Likely R
Virginia,Class II,Virginia: Class II,DEM,Solid D
West Virginia,Class II,West Virginia: Class II,REP,Solid R
Wyoming,Class II,Wyoming: Class II,REP,Solid R
Georgia*,Class III,Georgia: Class III,REP,Lean R
California,-,-,-,-
Connecticut,-,-,-,-
Florida,-,-,-,-
Hawaii,-,-,-,-
Indiana,-,-,-,-
Maryland,-,-,-,-
Missouri,-,-,-,-
Nevada,-,-,-,-
New York,-,-,-,-
North Dakota,-,-,-,-
Ohio,-,-,-,-
Pennsylvania,-,-,-,-
Utah,-,-,-,-
Vermont,-,-,-,-
Washington,-,-,-,-
Wisconsin,-,-,-,-